Photon Energy [eV]	Sample Current [A]	Mesh Current [A]	Sample/Mesh [adim.]	Reference Current [A]
700.000000	-1.751710E-12	3.686162E-13	-4.752124	-1.598218E-12
700.100000	-1.505254E-12	3.352686E-13	-4.489697	-1.228591E-12
700.200000	-1.314495E-12	3.555067E-13	-3.697526	-5.711977E-13
700.300000	-2.143753E-12	3.328041E-13	-6.441485	-2.209239E-12
700.400000	1.329246E-12	3.294180E-13	4.035136	3.583335E-12
700.500000	-1.802922E-12	3.548934E-13	-5.080180	-1.237580E-12
700.600000	1.921104E-13	3.775688E-13	0.508809	1.894685E-12
700.700000	-2.963993E-12	3.431134E-13	-8.638523	-2.982212E-12
700.800000	1.850916E-12	3.488646E-13	5.305542	4.786156E-12
700.900000	7.060287E-14	3.393680E-13	0.208042	1.645636E-12
701.000000	-2.244203E-12	3.274530E-13	-6.853512	-1.945987E-12
701.100000	-4.089855E-14	3.250972E-13	-0.125804	5.010371E-13
701.200000	-1.714438E-12	3.237054E-13	-5.296291	-1.747520E-12
701.300000	6.147840E-13	3.659379E-13	1.680022	1.668928E-12
701.400000	-3.045032E-12	3.401589E-13	-8.951792	-3.006210E-12
701.500000	-8.632097E-13	3.483391E-13	-2.478073	2.467807E-14
701.600000	-1.300888E-13	3.381083E-13	-0.384755	3.753271E-13
701.700000	-2.553111E-12	3.456920E-13	-7.385506	-2.434897E-12
701.800000	3.240972E-12	3.365560E-13	9.629815	6.775795E-12
701.900000	-4.967717E-13	3.660869E-13	-1.356977	2.758068E-13
702.000000	1.083646E-12	3.294164E-13	3.289593	3.331424E-12
702.100000	-7.290928E-13	3.453238E-13	-2.111331	-5.637533E-13
702.200000	-1.462304E-12	3.263641E-13	-4.480592	-1.515220E-12
702.300000	-3.978501E-13	2.914478E-13	-1.365082	1.040521E-12
702.400000	-1.265062E-12	3.477652E-13	-3.637690	-3.421102E-13
702.500000	-3.059779E-13	3.361467E-13	-0.910251	7.803752E-13
702.600000	-7.593852E-13	3.516732E-13	-2.159349	4.924395E-13
702.700000	9.811212E-13	3.607553E-13	2.719630	3.058135E-12
702.800000	-2.675831E-12	3.217586E-13	-8.316266	-2.308900E-12
702.900000	-2.477415E-12	3.381579E-13	-7.326207	-2.248419E-12
703.000000	-8.210829E-14	3.142429E-13	-0.261289	1.354791E-12
703.100000	-2.266835E-12	3.445355E-13	-6.579395	-2.448150E-12
703.200000	1.795800E-13	3.476487E-13	0.516556	1.730473E-12
703.300000	1.665690E-13	3.432300E-13	0.485298	1.009032E-12
703.400000	-1.993653E-12	3.566268E-13	-5.590307	-1.759574E-12
703.500000	-1.662401E-12	3.379682E-13	-4.918809	-7.853608E-13
703.600000	7.169570E-15	3.219183E-13	0.022271	1.164190E-12
703.700000	1.794065E-12	3.456354E-13	5.190628	3.937126E-12
703.800000	-2.731916E-12	3.357414E-13	-8.136966	-2.933215E-12
703.900000	8.696083E-13	2.988162E-13	2.910178	2.707175E-12
704.000000	-9.992515E-13	3.307093E-13	-3.021540	-3.581577E-13
704.100000	1.273884E-12	3.302490E-13	3.857345	2.660589E-12
704.200000	2.381725E-12	3.243344E-13	7.343425	5.009041E-12
704.300000	-1.139776E-12	3.297693E-13	-3.456283	-1.125146E-12
704.400000	-2.620469E-12	3.286025E-13	-7.974584	-1.673795E-12
704.500000	1.235131E-12	3.700863E-13	3.337414	2.613288E-12
704.600000	-7.204943E-13	3.431141E-13	-2.099868	3.181507E-13
704.700000	-6.891648E-14	3.289506E-13	-0.209504	1.110648E-12
704.800000	-3.511141E-13	3.529792E-13	-0.994716	1.530500E-12
704.900000	-1.787823E-12	3.320628E-13	-5.383991	-1.544581E-12
705.000000	-1.414388E-13	3.437666E-13	-0.411439	9.708120E-13
705.100000	2.746297E-12	3.204075E-13	8.571263	5.332922E-12
705.200000	-1.964364E-13	3.169818E-13	-0.619709	1.566425E-12
705.300000	-3.069511E-12	3.118101E-13	-9.844168	-3.158973E-12
705.400000	-2.701581E-12	3.133980E-13	-8.620287	-2.560518E-12
705.500000	-3.737388E-12	3.503556E-13	-10.667414	-4.779524E-12
705.600000	2.483003E-12	3.636028E-13	6.828889	5.098297E-12
705.700000	7.964436E-13	3.699606E-13	2.152780	2.142406E-12
705.800000	-2.453238E-12	3.360029E-13	-7.301242	-2.273322E-12
705.900000	1.963179E-13	3.363009E-13	0.583757	2.132336E-12
706.000000	9.142887E-13	3.755582E-13	2.434479	2.706706E-12
706.100000	2.448283E-12	3.388026E-13	7.226283	5.469462E-12
706.200000	-3.744246E-14	3.334663E-13	-0.112283	7.143973E-13
706.300000	-9.073141E-13	3.512712E-13	-2.582945	3.282161E-13
706.400000	-2.096966E-12	3.460698E-13	-6.059372	-1.631787E-12
706.500000	5.380234E-13	3.447378E-13	1.560674	2.771988E-12
706.600000	-1.314111E-12	3.122911E-13	-4.207967	-4.324551E-13
706.700000	3.747555E-12	3.324369E-13	11.272981	7.315725E-12
706.800000	-9.457592E-13	3.605596E-13	-2.623032	5.408856E-14
706.900000	5.487694E-13	3.731682E-13	1.470568	2.069681E-12
707.000000	2.194305E-13	3.609676E-13	0.607895	1.154446E-12
707.100000	-1.343872E-12	3.200264E-13	-4.199254	-1.478554E-12
707.200000	9.568633E-13	3.242326E-13	2.951163	2.591734E-12
707.300000	-2.067883E-12	3.420733E-13	-6.045146	-1.347951E-12
707.400000	-1.876931E-12	3.437312E-13	-5.460462	-1.883382E-12
707.500000	-3.735160E-12	3.674447E-13	-10.165230	-4.730207E-12
707.600000	-1.361708E-12	3.338738E-13	-4.078510	-4.908425E-13
707.700000	-3.985122E-12	3.290113E-13	-12.112414	-4.446589E-12
707.800000	-5.641265E-14	3.222713E-13	-0.175047	1.616036E-12
707.900000	-1.594822E-12	3.198942E-13	-4.985465	-1.025436E-12
708.000000	-7.907797E-13	3.430223E-13	-2.305330	6.899027E-13
708.100000	-4.690622E-13	3.487718E-13	-1.344897	7.385661E-13
708.200000	-2.964334E-12	3.422386E-13	-8.661600	-3.194195E-12
708.300000	1.244781E-13	3.482724E-13	0.357416	1.689140E-12
708.400000	-2.629343E-12	3.406390E-13	-7.718855	-3.088037E-12
708.500000	2.727463E-13	3.413668E-13	0.798983	1.558754E-12
708.600000	-1.913610E-12	3.397433E-13	-5.632518	-2.459142E-12
708.700000	-1.633439E-12	3.422918E-13	-4.772068	-1.659647E-12
708.800000	2.142852E-13	3.108179E-13	0.689424	1.808884E-12
708.900000	-4.653197E-12	3.769029E-13	-12.345878	-5.679451E-12
709.000000	-1.012925E-12	3.459267E-13	-2.928150	7.374183E-13
709.100000	-6.247650E-13	3.487095E-13	-1.791649	4.559694E-13
709.200000	-2.462831E-13	3.408727E-13	-0.722508	6.043496E-13
709.300000	-1.263579E-13	3.437101E-13	-0.367629	1.700878E-12
709.400000	-1.873688E-12	3.456750E-13	-5.420375	-1.022819E-12
709.500000	-2.242624E-12	3.565608E-13	-6.289597	-1.935861E-12
709.600000	4.157055E-13	3.438007E-13	1.209147	2.722281E-12
709.700000	-2.701188E-12	3.598205E-13	-7.507043	-2.922976E-12
709.800000	-7.655379E-13	3.263662E-13	-2.345641	1.112134E-12
709.900000	-1.790141E-12	2.935795E-13	-6.097635	-1.211209E-12
710.000000	-2.723230E-12	3.419955E-13	-7.962765	-2.421545E-12
710.100000	-1.293100E-12	3.617450E-13	-3.574617	-4.713986E-13
710.200000	-1.770624E-12	3.448815E-13	-5.134007	-1.315533E-12
710.300000	-8.755686E-13	3.245413E-13	-2.697865	1.377463E-13
710.400000	4.074621E-13	3.691839E-13	1.103683	1.953804E-12
710.500000	-2.702394E-13	3.485042E-13	-0.775427	1.126440E-12
