Photon Energy [eV]	Sample Current [A]_000	Mesh Current [A]_000	Sample/Mesh [adim.]_000	Reference Current [A]_000	Sample Current [A]_001	Mesh Current [A]_001	Sample/Mesh [adim.]_001	Reference Current [A]_001	Sample Current [A]_002	Mesh Current [A]_002	Sample/Mesh [adim.]_002	Reference Current [A]_002	Sample Current [A]_SUM	Mesh Current [A]_SUM	Sample/Mesh [adim.]_SUM	Reference Current [A]_SUM
700.000000	3.089944E-13	3.226464E-13	0.957688	1.472523E-12	-3.524500E-13	3.136209E-13	-1.123809	7.038812E-13	-7.118422E-13	3.412584E-13	-2.085933	-3.423668E-14	-7.552978E-13	9.775257E-13	-2.252055	2.142167E-12
700.100000	-1.343762E-13	3.238250E-13	-0.414966	1.149777E-12	-2.904037E-12	3.295397E-13	-8.812405	-2.942935E-12	-4.899141E-13	3.538500E-13	-1.384525	4.853778E-13	-3.528327E-12	1.007215E-12	-10.611895	-1.307780E-12
700.200000	1.661206E-13	3.449049E-13	0.481642	2.213742E-12	-1.954934E-12	3.602317E-13	-5.426881	-1.481038E-12	-6.628980E-13	3.434251E-13	-1.930255	5.145466E-13	-2.451712E-12	1.048562E-12	-6.875494	1.247251E-12
700.300000	6.696980E-14	3.503735E-13	0.191138	1.457937E-12	-1.756451E-12	3.410702E-13	-5.149823	-1.216096E-12	1.154957E-12	3.457383E-13	3.340554	3.132629E-12	-5.345237E-13	1.037182E-12	-1.618131	3.374471E-12
700.400000	-3.322928E-14	3.325513E-13	-0.099922	9.665194E-13	-6.509128E-13	3.078287E-13	-2.114529	4.992753E-13	2.242827E-12	3.679542E-13	6.095397	5.130101E-12	1.558685E-12	1.008334E-12	3.880946	6.595896E-12
700.500000	2.047305E-12	3.277164E-13	6.247184	4.266560E-12	2.226054E-12	3.346646E-13	6.651598	4.537771E-12	2.599847E-12	3.460209E-13	7.513555	5.303017E-12	6.873206E-12	1.008402E-12	20.412337	1.410735E-11
700.600000	1.385997E-12	3.492631E-13	3.968346	3.638121E-12	1.291038E-13	3.266707E-13	0.395211	1.727600E-12	-1.880877E-12	3.537182E-13	-5.317445	-1.459475E-12	-3.657763E-13	1.029652E-12	-0.953887	3.906246E-12
700.700000	4.726199E-14	3.606815E-13	0.131035	9.966415E-13	-1.783450E-12	3.071236E-13	-5.806946	-1.379679E-12	7.209697E-13	3.121098E-13	2.309988	2.560583E-12	-1.015218E-12	9.799149E-13	-3.365924	2.177545E-12
700.800000	-3.348079E-12	3.592767E-13	-9.318943	-3.906695E-12	-1.416761E-12	3.410721E-13	-4.153845	-7.865143E-13	2.406091E-13	3.286390E-13	0.732138	1.806724E-12	-4.524231E-12	1.028988E-12	-12.740651	-2.886484E-12
700.900000	-1.668686E-12	3.329333E-13	-5.012073	-1.394183E-12	-8.669480E-15	3.282811E-13	-0.026409	1.229130E-12	-3.112973E-13	3.404068E-13	-0.914486	4.409718E-13	-1.988653E-12	1.001621E-12	-5.952968	2.759188E-13
